#,Caso de prueba,Prioridad,Resultado esperado,Resultado Obtenido,,,,,,,,,,,,,,,,,,,,,
S-13,5+ intentos fallidos consecutivos,? Bajo,Verificar si hay bloqueo temporal o alerta de seguridad,"No tenemos logica de bloqueo, implementar.",,,,,,,,,,,,,,,,,,,,,
S-14,Reset con email registrado,?? Crítico,Email llega con link funcional,"No tenemos logica de envio de link funcional para resetear la contraseña, tenemos logica de que administrador la cambie, o que si se sabe la contraseña y quiera cambiarla",,,,,,,,,,,,,,,,,,,,,
S-15,Reset con email NO registrado,?? Alto,Respuesta genérica (no revelar si el email existe),No existe esa logica,,,,,,,,,,,,,,,,,,,,,
S-16,Link de reset ya usado o expirado,?? Alto,"""El link ya fue utilizado o ha expirado""",No existe esa logica,,,,,,,,,,,,,,,,,,,,,
S-17,Solicitar reset dos veces con el mismo email,?? Medio,Solo el último link es válido,No existe esa logica,,,,,,,,,,,,,,,,,,,,,
S-18,Logout manual,?? Crítico,"Token eliminado, redirige a login",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
S-19,"Presionar ""Atrás"" del browser después de logout",?? Alto,"No muestra contenido protegido, redirige a login",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-01,Crear ficha con todos los campos obligatorios correctos,?? Crítico,"Ficha creada, ID asignado, modal de éxito con el número correcto","Funciona correctamente, Detalles: el modal o pagina de éxito, redirigue a la selección de como quiero crear una ficha, cuando deberia redirigir a la vista de fichas.
Por otro lado en la pestaña analisis, nos deja ingresar analisis de distintas normativas y tablas, pero no queda registrado que normativa o tabla pertenece cada analisis grabado.
Por otro lado hay placeholders que no corresponden en el campo indicando que se rellena de una ofrma erronea, por ejemplo el campo ""Número Instrumento"", ademas por ejemplo el campo Año instrumento no se valida que sea un año valido.
En algunos campos tenemos una opcion extra de ""No aplica"" la cual esta mediante codigo, esa logica eliminarla.
Campo aveces instrumento ambiental lo graba mal, hay fichas con esto: Otro Otro Resolución SISS 2122/2023 cuando deberia ser Resolución SISS 2122/2023 y hay otras como Res Siss /      sin el numero y año
En  la logica de guardado de accion para la linea de tiempo, la hora la guarda mal, grabamos a las 15:29 y la hora la guardo a las 11:29 verifica eso debe gaurdar correctamente la hora.",,,,,,,,,,,,,,,,,,,,,
F-02,Intentar guardar con campos obligatorios vacíos,?? Crítico,"Botón ""Grabar"" deshabilitado o errores visibles por campo",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-03,Selects en cascada: cambiar empresa ? fuente emisora se filtra,?? Crítico,Lista de fuentes actualizada según empresa seleccionada,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-04,Duración 24h ? fecha instalación debe ser 1 día antes del retiro,?? Crítico,Offset de 1 día respetado en asignación posterior,"Solo se ingresa las horas en esta logica, en otra parte se debe validar eso",,,,,,,,,,,,,,,,,,,,,
F-05,Duración < 24h ? instalación y retiro el mismo día,?? Crítico,"Sin offset, fechas iguales permitidas","Solo se ingresa las horas en esta logica, en otra parte se debe validar eso",,,,,,,,,,,,,,,,,,,,,
F-06,Referencia Google Maps con URL larga válida (!3d!4d),?? Alto,"Coordenadas del lugar exacto extraídas, mapa preview visible",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-07,Referencia con short link maps.app.goo.gl/…,?? Alto,"Redirect seguido, coordenadas extraídas correctamente",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-08,"Referencia con coordenadas puras: -41.45,-72.92",?? Alto,"Reconocido como válido, coordenadas guardadas",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-09,"Referencia con texto basura: ""noaplica"", ""asd"", ""-""",?? Alto,"Error inline en el campo, no llama al backend","Funciona correctamente, dice ""No se reconoce como link de Google Maps ni coordenadas.""",,,,,,,,,,,,,,,,,,,,,
F-10,"Link de Maps con solo @lat,lon (sin !3d!4d)",?? Alto,Advertencia: coordenadas aproximadas del viewport,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-11,"Tab ""Análisis"" sin análisis ? botón ""Siguiente"" deshabilitado",?? Alto,No puede continuar sin al menos un análisis,"Funciona correctamente, el boton Continuar esta deshabilitado, pero podemos avanzar haciendo click en la parte superior en las pestañas",,,,,,,,,,,,,,,,,,,,,
F-12,"Tab ""Observaciones"" en blanco ? ""Grabar"" deshabilitado",?? Alto,"Validación activa, no permite guardar",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-13,Crear dos fichas seguidas sin recargar la página,?? Medio,"Segundo formulario inicia limpio, sin datos previos",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-14,Escribir rápido en múltiples campos seguidos,?? Medio,"Sin lag, todos los valores guardados correctamente al final",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
F-15,"Seleccionar ""No aplica"" en Instrumento Ambiental",?? Medio,Campos Nro/Año deshabilitados o no requeridos,"No funciona, elegi la opción No aplica y los campos no se borraron el contenido y menos quedaron deshabilitados.",,,,,,,,,,,,,,,,,,,,,
F-16,"Campo Duración con valor no numérico (""horas"", ""1.5a"")",?? Medio,Error de validación claro,"Campo deja ingresar puntos, y no deja ingresar letras.",,,,,,,,,,,,,,,,,,,,,
F-17,Crear ficha como usuario sin permiso FI_CREAR,?? Medio,Botón oculto o error 403 descriptivo,Directamente no le aparece los botones de navegacion hacia la creacion de fichas.,,,,,,,,,,,,,,,,,,,,,
F-18,Backend tarda 10+ segundos en responder,?? Medio,"Loader visible durante todo el proceso, sin doble submit","Simplemente sale la alerta de exito o error, no hay modal de carga.",,,,,,,,,,,,,,,,,,,,,
F-19,"Click en ""Grabar"" dos veces rápido",?? Medio,Solo se crea una ficha (protección de doble envío),"Funciona correctamete, sale el icono de carga y solo crea una ficha.",,,,,,,,,,,,,,,,,,,,,
F-20,"Campo ""Glosa"" con 150+ caracteres",? Bajo,Truncado al límite o error de validación con mensaje claro,"Funciona correctamente, cuando llegamos a los 100 caracteres el cual es el limite, se corta y no deja escribir mas",,,,,,,,,,,,,,,,,,,,,
F-21,Formulario en pantalla móvil (< 550px),?? Medio,"Layout responsivo, todos los campos utilizables","Si funciona correctamente, unico detalle en la pestaña Análisis, en la tabla de analisis grabados, el campo uf, no se ve lo que ingresamos, es muy pequeño el cuadro donde se ven los numeros.",,,,,,,,,,,,,,,,,,,,,
F-22,Pérdida de conexión durante el guardado,? Bajo,"Error manejado, datos no perdidos (permanece en formulario)","Deberia decir un mensaje de perdio la conexion, solo sale error pero no especifica por que.",,,,,,,,,,,,,,,,,,,,,
F-23,Abrir ficha recién creada,?? Crítico,Todos los datos coinciden exactamente con lo ingresado,"Funciona en gran parte bien, unico detalle ya mencionado anteriormente, en la pestaña analisis podemos mezclar normativas y tablas, pero solamente dice una normativa y tabla, deberia ser por analisis ese dato y no una general.",,,,,,,,,,,,,,,,,,,,,
F-24,Ficha con coordenadas guardadas,?? Alto,Link/mapa visible que abre Google Maps en la ubicación correcta,"No tenemos campo de vista de la referencia de google maps, agreagar y ver que otros campos faltan, es decir comparar lo que se guarda desde la creacion de fichas manual, y ver si mostramos todo en la vista de una ficha y de que manera podemos mostrarlo.",,,,,,,,,,,,,,,,,,,,,
F-25,Ficha sin coordenadas (link inválido o ausente),?? Alto,"Muestra texto del link sin mapa, sin errores en pantalla",No tenemos esa logica,,,,,,,,,,,,,,,,,,,,,
F-26,Descarga de PDF de la ficha,?? Crítico,"PDF descargado, información completa y bien formateada",La descarga de la ficha se realiza correctamente  con todos los catos correspondientes,,,,,,,,,,,,,,,,,,,,,
F-27,"PDF de ficha con campos ""No aplica""",?? Medio,"""No aplica"" visible en el PDF, sin campos vacíos sin texto","Los campos vacios se visualizan con ""-"" ",,,,,,,,,,,,,,,,,,,,,
F-28,Nombre de archivo PDF correcto,?? Medio,Nombre incluye el ID de la ficha (ej: ficha_123.pdf),"Las fichas descargadas tienen de nombre ""Ficha_(""id"")""",,,,,,,,,,,,,,,,,,,,,
F-29,Aprobación técnica con permiso FI_APROBAR_TEC,?? Crítico,"Estado cambia correctamente, notificación generada",El estado de las fichas cambian de forma correcta respectivaemnte,,,,,,,,,,,,,,,,,,,,,
F-30,Intento de aprobación sin el permiso correspondiente,?? Alto,Botón oculto o error 403 claro,"Si el usuario no tiene permiso para aprobar cuando le corresponde , no le aparece el boton ",,,,,,,,,,,,,,,,,,,,,
F-31,Rechazo con observaciones vacías,?? Alto,"Error de validación, no permite rechazar sin motivo",En este caso aparece una alerta si no agrega una observacion,,,,,,,,,,,,,,,,,,,,,
F-32,"Ficha en estado ""PENDIENTE ÁREA COORDINACIÓN""",?? Crítico,"Botón ""Gestionar Asignación"" deshabilitado con tooltip explicativo",Boton aparece deshabilitado y sin permisos para asignar si se encuentra en el estado mencionado,,,,,,,,,,,,,,,,,,,,,
F-33,Ver historial de cambios de la ficha,?? Alto,"Usuario, fecha y acción de cada cambio visibles",El historial de cambios se  visualiza como corresponde y sin datos nulos ,,,,,,,,,,,,,,,,,,,,,
F-34,Ficha de remuestreo ? referencia a ficha original,?? Medio,Link o indicador visible hacia la ficha madre,"La ficha de Re muestreo, no hace referencia a la ficha original   en ningun sector ",,,,,,,,,,,,,,,,,,,,,
F-35,Abrir edición ? todos los campos prellenados,?? Crítico,Sin campos vacíos inesperados,"Al ingresar a la edicion de la ficha  se visualizan campos vacios, que deverian contener datos que si se visualizan al momento de  ver la ficha ",,,,,,,,,,,,,,,,,,,,,
F-36,Modificar link de Google Maps al editar,?? Crítico,Coordenadas re-resueltas y actualizadas en BD,"Cambio se realiza correctamente, al momento de ingresar una observacion en el campo observaciones, la accion de ingresar es lenta  ",,,,,,,,,,,,,,,,,,,,,
F-37,Guardar sin modificar nada,?? Alto,"Sin error, auditoría registrada igualmente","Aparece error si no ingresamos una observacion, para guardar una edicion es obligatorio una observacion",,,,,,,,,,,,,,,,,,,,,
F-38,Cambiar Duración de 48h a 0 ? recalcular offset,?? Alto,Asignaciones futuras sin offset de fecha,"El calculo es el correspondiente , si dura 0 horas el servicio , por ende inicia y termina el mismo dia ",,,,,,,,,,,,,,,,,,,,,
F-39,Editar ficha que ya tiene muestreos asignados,?? Medio,Advertencia o restricción según reglas del negocio,Si esta en proceso la ficha no se puede editar por una restriccion,,,,,,,,,,,,,,,,,,,,,
F-40,"Auditoría: registrar quién editó, qué campo y cuándo",?? Crítico,Historial completo visible en el detalle de la ficha,"Algunas acciones se registan en l auditoria , pero falta otras como la creacion de fichas o asignacion de fichas ",,,,,,,,,,,,,,,,,,,,,
F-41,Editar ficha sin permiso FI_EDITAR,?? Medio,Opción de edición no disponible para ese usuario,"Si el usuario no tiene permiso para editar alguna ficha , no la puede editar y no aparece el boton correspondiente ",,,,,,,,,,,,,,,,,,,,,
A-01,Lista muestra solo fichas pendientes de asignación,?? Crítico,Sin fichas ejecutadas o canceladas mezcladas,"Aparecen fichas pendientes de adignacion, pero tambien aparecen las fichas que estan pendientes de area coordinacion, es decir esas fichas primero deben ser aceptadas por el area de coordinacion antes de ser asignadas y tambien salen las fichas en proceso las cuales son las que ya fueron agendadas",,,,,,,,,,,,,,,,,,,,,
A-02,Ficha 24h ? fecha instalación auto-calculada al ingresar retiro,?? Crítico,"Campo instalación = retiro - 1 día, precargado automáticamente","Funciona correctamente, detalle: permite ingresar fechas que ya pasaron, eso no puede ocurrir, tanto en fecha de muestreo como fecha de instalación",,,,,,,,,,,,,,,,,,,,,
A-03,Ficha <24h ? instalación = retiro (mismo día),?? Crítico,"Sin offset, fechas iguales",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
A-04,Guardar instalación = retiro en ficha de 24h,?? Crítico,Error de validación claro antes de guardar,"Funciona correctamente, no deja realizar la asignacion.",,,,,,,,,,,,,,,,,,,,,
A-05,Asignar solo muestreador sin fechas,?? Alto,Comportamiento permitido o error según regla de negocio,"No deja guardar ya que pide asignar fecha y muestreador, pero no deberia ser asi, ya que podemos guardar solamente fechas, y en otra ocasion asignar muestreadores, o viceversa.
Por otro lado una ficha la cual es remuestreo, me pide logica de versiones de los equipos, pero me da error del servidor: 
AssignmentDetailView.tsx:159 Error fetching comparison: 
AxiosError
code
: 
""ERR_BAD_REQUEST""
config
: 
{transitional: {…}, adapter: Array(3), transformRequest: Array(1), transformResponse: Array(1), timeout: 0, …}
message
: 
""Request failed with status code 403""
name
: 
""AxiosError""
request
: 
XMLHttpRequest {onreadystatechange: null, readyState: 4, timeout: 0, withCredentials: false, upload: XMLHttpRequestUpload, …}
response
: 
{data: {…}, status: 403, statusText: 'Forbidden', headers: AxiosHeaders, config: {…}, …}
status
: 
403
stack
: 
""AxiosError: Request failed with status code 403\n    at settle (http://localhost:5173/node_modules/.vite/deps/axios.js?v=bff26dfc:1257:12)\n    at XMLHttpRequest.onloadend (http://localhost:5173/node_modules/.vite/deps/axios.js?v=bff26dfc:1606:7)\n    at Axios.request (http://localhost:5173/node_modules/.vite/deps/axios.js?v=bff26dfc:2223:41)\n    at async Object.getEquipmentComparison (http://localhost:5173/src/services/admin.service.ts:121:22)\n    at async handleViewVersions (http://localhost:5173/src/features/medio-ambiente/components/AssignmentDetailView.tsx:137:24)""
[[Prototype]]
: 
Error



2026-05-25 16:17:10 [info]: GET /api/fichas/153/assignment-detail 200 15.290 ms - - {""service"":""adl-one-api""}
2026-05-25 16:17:10 [info]: GET /api/fichas/153/assignment-detail 200 15.290 ms - - {""service"":""adl-one-api""}
2026-05-25 16:17:10 [info]: GET /api/fichas/153/assignment-detail 200 16.713 ms - - {""service"":""adl-one-api""}
2026-05-25 16:17:10 [info]: GET /api/fichas/153/assignment-detail 200 16.713 ms - - {""service"":""adl-one-api""}
2026-05-25 16:17:14 [info]: GET /api/admin/equipos/comparison-resampling?idOriginal=132&idNueva=153&idMuestreador=229 403 1.217 ms - 113 {""service"":""adl-one-api""}
2026-05-25 16:17:14 [info]: GET /api/admin/equipos/comparison-resampling?idOriginal=132&idNueva=153&idMuestreador=229 403 1.217 ms - 113 {""service"":""adl-one-api""}
",,,,,,,,,,,,,,,,,,,,,
A-06,Asignar solo fechas sin muestreador,?? Alto,Comportamiento permitido o error según regla de negocio,"No deja guardar ya que pide asignar fecha y muestreador, pero no deberia ser asi, ya que podemos guardar solamente fechas, y en otra ocasion asignar muestreadores, o viceversa.",,,,,,,,,,,,,,,,,,,,,
A-07,Fecha de retiro anterior a fecha de instalación,?? Alto,Error de validación antes de guardar,"Error grave, si deja asignar una fecha de instalacion posterior a la fecha de retiro.",,,,,,,,,,,,,,,,,,,,,
A-08,Muestreador instalación ? muestreador retiro,?? Alto,Ambos guardados correctamente e independientemente,"Logica permitida, entonces es correcto.",,,,,,,,,,,,,,,,,,,,,
A-09,Lo asignado desde Rutas reflejado en asignación manual,?? Crítico,Fechas y muestreadores precargados desde la ejecución de ruta,"Se ve reflejado, pero la asignacion, no esta considerando los servicios disponibles o no, ya que por ejemplo el servicio 10 ya estaba agendado, pero igualmente me salia seleccionable en la asignacion mediante rutas.
Por otro lado seleccione el servicio 2, pero el guardado me asigno en el servicio 11, hay que verificar eso.",,,,,,,,,,,,,,,,,,,,,
A-10,Formato de fechas guardadas en BD,?? Crítico,"Fecha correcta, sin desfase de zona horaria (no epoch, no +1 día)",Si se guarda correctamente.,,,,,,,,,,,,,,,,,,,,,
A-11,Asignar ficha que ya fue asignada previamente,?? Medio,Sobreescribe o crea nuevo correlativo según lógica definida,Si remplaza lo que se habia asignado anteriormente.,,,,,,,,,,,,,,,,,,,,,
A-12,Dos usuarios asignan la misma ficha simultáneamente,? Bajo,No se genera asignación duplicada ni conflicto silencioso,"No tengo manera de probar eso, pero verifica que no ocurra esp.",,,,,,,,,,,,,,,,,,,,,
A-13,"Filtros combinados (cliente, fuente, fecha)",?? Alto,Resultados correctamente filtrados en todos los casos,Si fnciona correctamente.,,,,,,,,,,,,,,,,,,,,,
R-01,Mapa carga fichas correctamente posicionadas,?? Crítico,"Pins en ubicaciones reales, no en coordenadas del viewport",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
R-02,Fichas sin coordenadas (ubicacion_lat null),?? Alto,"Sin crash, indicador visual ""sin coordenadas""","Ficha con background de color rojo, al intentar seleccionarla, dice que tiene coordenadas no validas, por ende, funciona correctamente",,,,,,,,,,,,,,,,,,,,,
R-03,Trazar ruta entre fichas ? línea sigue calles,?? Crítico,"Ruta por calles, no línea recta entre puntos","Un milisegundo traza la linea recta, luego calcula la ruta y la liena es entre calle, osea genera la ruta. hay que verificar eso.",,,,,,,,,,,,,,,,,,,,,
R-04,Ruta con ficha de 24h ? offset de fecha por ficha,?? Crítico,Fecha instalación = retiro - 1 día por cada ficha según su duración,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
R-05,Crear grupo con nombre duplicado,?? Alto,Error o advertencia de nombre duplicado,"Deja guardarlo, no hay validacion, añadir validacion y no dejar guardar con nombre igual.",,,,,,,,,,,,,,,,,,,,,
R-06,Guardar ruta sin fichas,?? Alto,Validación: no se puede guardar ruta vacía,"Boton deshabilitado, funciona correctamente.",,,,,,,,,,,,,,,,,,,,,
R-07,Grupo con 50+ rutas asignadas,?? Medio,Sin degradación de rendimiento en la lista,"No tengo manera de probar eso, verifica que eso se pueda y que la asignacion masivamente funcione, si falla en alguna partediga que fue lo que paso y deje cambiar eso y luego probar nuevamente la asignacion masiva",,,,,,,,,,,,,,,,,,,,,
R-08,Eliminar grupo que tiene rutas asociadas,?? Alto,Advertencia + desasociar rutas o bloquear eliminación,"Pasan a otro grupo lamado Sin grupo, no hay alertas o validaciones, por otro lado esas fichas que qeudaron en el grupo Sin grupo no tenemos boton de mover a un grupo, reformula eso.",,,,,,,,,,,,,,,,,,,,,
R-09,Asignar ruta ? registro en historial de ejecuciones,?? Crítico,"Registro con fecha, muestreadores y lista de fichas","No tenemos esa logica implementada, implementala robustamente",,,,,,,,,,,,,,,,,,,,,
R-10,Usuario con MA_RUTA_CREAR (sin FI_GEST_ASIG) puede asignar rutas,?? Crítico,"Sin error 403 — ya corregido, verificar en producción",No le aparece el boton de crear rutas,,,,,,,,,,,,,,,,,,,,,
R-11,"Ficha de ruta en estado ""PENDIENTE COORDINACIÓN""",?? Alto,No incluida en ejecución o advertencia clara visible,"Error grave, en la lista de fichas para crear rutas, aparecen fichas que aun no han sido aprobadas por el area de coordinación, es decir, estan en estado PENDIENTE AREA COORDINACION, arregla eso.",,,,,,,,,,,,,,,,,,,,,
R-12,App móvil respeta el orden de la ruta asignada,?? Crítico,Orden por orden_ruta de mae_rutas_ejecuciones_detalle,Funciona correctamente.,,,,,,,,,,,,,,,,,,,,,
R-13,Ruta con una sola ficha,?? Medio,Funciona sin requerir mínimo 2 puntos,Si funciona correctamente,,,,,,,,,,,,,,,,,,,,,
R-14,Clonar ruta ? hereda fichas y grupo correctamente,?? Medio,Sin referencias cruzadas con la ruta original,"Si una ruta ya asignada  con fechas y muestreador, le damos clonar, cual seria el resultado esperado ya que no puede asignarse para el mismo dia y al mismo muestreador...",,,,,,,,,,,,,,,,,,,,,
R-15,"Filtros en listado de rutas (nombre, grupo, estado)",?? Alto,Resultados correctos con filtros combinados,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
M-01,Lista muestra solo fichas con muestreos ejecutados,?? Crítico,Sin mezcla con fichas pendientes,Si la lista muestra solo fichas con muestreos completados y remarca las relaizadas por GEM MAM en color verde,,,,,,,,,,,,,,,,,,,,,
M-02,"Filtros combinados (fecha, cliente, muestreador)",?? Alto,Resultados correctos y precisos,Los filtros funcionan sin problemas ,,,,,,,,,,,,,,,,,,,,,
M-03,Detalle de muestreo con fechas y muestreadores correctos,?? Crítico,Datos coinciden con lo registrado en BD,los datos si coinciden con lo registrado en la base de datos,,,,,,,,,,,,,,,,,,,,,
M-04,Crear remuestreo desde ficha ejecutada,?? Crítico,Nueva ficha referenciando la original correctamente,la nueva ficha no hace refencia a la ficha original ,,,,,,,,,,,,,,,,,,,,,
M-05,Remuestreo de ficha que ya tiene remuestreo previo,?? Medio,Permitido o advertencia según regla de negocio,Re Muestreo si se puede hacer mas de uno de la misma ficha al mismo tiempo,,,,,,,,,,,,,,,,,,,,,
M-06,Exportar ficha completada como PDF,?? Crítico,PDF con datos del muestreo ejecutado (fechas reales),"Los PDF  se generan correctamente pero sin mostrar lo de datos ingresados, ",,,,,,,,,,,,,,,,,,,,,
M-07,"Abrir documento adjunto (informe, acta)",?? Alto,Documento abre o descarga correctamente,"Los archivos adjuntos , imagenes informes , se visualizan de forma correcta",,,,,,,,,,,,,,,,,,,,,
M-08,Reenviar documento seleccionando destinatario específico,?? Alto,Email llega solo al destinatario seleccionado,el email de aviso o email que corresponde llega a el correo habilitado por los administradores,,,,,,,,,,,,,,,,,,,,,
M-09,"Marcar como ""Realizado GEM"" ? registra fecha/hora y usuario",?? Crítico,"Timestamp automático, sin posibilidad de modificación retroactiva","SI registra el responsable, la fecha y la hora correspondiente",,,,,,,,,,,,,,,,,,,,,
M-10,Marcar como realizado una ficha ya marcada,?? Medio,Error claro o botón deshabilitado,El boton se deshabilita al momento de marcar como realizado por GEM  MAM,,,,,,,,,,,,,,,,,,,,,
M-11,Paginación con 200+ muestreos,?? Medio,Sin degradación de rendimiento,No degrada la descarga ni el rendimiento el hecho de tener mas de 200 muestreos,,,,,,,,,,,,,,,,,,,,,
C-01,Vista mensual con fichas en fechas correctas,?? Crítico,Coincide con fechas de retiro en BD,"Hay fichas que no aparecen, por ejemplo una ficha tiene algunos de sus servicios asignados con fechas y muestreador, pero no aparece esa ficha en el calendario, verifica que validacion hay para que aparezca.",,,,,,,,,,,,,,,,,,,,,
C-02,Cambio de vista (mes / semana / día / lista),?? Alto,Todas las vistas funcionan sin errores,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
C-03,Responsividad en móvil,?? Medio,Vista adaptada y usable en pantalla pequeña,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
C-04,Cancelar ficha pendiente desde calendario,?? Crítico,"Estado cambia, no aparece más en calendario activo","Sale como cancelada, y de color rojo, pero una vez canceladas, al hacer click sobre esa ficha, nos sale el boton de cancelar nuevamente disponible, verifica eso.",,,,,,,,,,,,,,,,,,,,,
C-05,Intentar cancelar ficha ya ejecutada,?? Crítico,Botón de cancelación ausente o deshabilitado,"Si deja cancelarlo, eso no deberia pasar, verifica esa logica.",,,,,,,,,,,,,,,,,,,,,
C-06,Reasignar fecha a ficha desde calendario,?? Alto,"Nueva fecha guardada, muestreador mantiene o se puede cambiar","Si funciona correctamente, considerar logica de 24 hrs o menos.
El cambiar muestreador tambien funciona, pero al abrir nuevamente la ficha, el select de Re-Asignar Muestreador sigue diciendo el nombre del muestreador anterior cuando ya cambió.",,,,,,,,,,,,,,,,,,,,,
C-07,Reasignar fecha a una pasada (ej: hace 3 días),?? Medio,Advertencia o restricción según regla de negocio,"permite hacerlo, no deberia, arreglar eso.",,,,,,,,,,,,,,,,,,,,,
C-08,Calendario con 50+ fichas en el mismo día,?? Medio,"Sin crash, paginación o scroll dentro del día",Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
C-09,"Filtros combinados (muestreador, cliente, estado)",?? Alto,Resultados correctos y actualizados,"Filtro por ficha, debe poder buscar por correlativo, por otro lado los filtros combinados si funcionan.",,,,,,,,,,,,,,,,,,,,,
E-01,Crear equipo con todos los campos correctos,?? Crítico,"Equipo creado, auditoría registrada con usuario y timestamp","Errores al crear el equipo, no aparecen equipos asociados,  unidades de medida no aparecen, boton de guardar todo no funciona , y no realiza nada ,  el boton de crear si funcion a",,,,,,,,,,,,,,,,,,,,,
E-02,Crear equipo con número de serie duplicado,?? Alto,Error de validación claro,"No se puede asignar de forma manual el codigp, se asigna de forma automatico",,,,,,,,,,,,,,,,,,,,,
E-03,Editar equipo ? campos prellenados correctamente,?? Crítico,Sin datos faltantes en el formulario de edición,"Los equipos si se visualizan con todos los campos correspondientes , ",,,,,,,,,,,,,,,,,,,,,
E-04,Crear nueva versión de equipo,?? Alto,"Versión anterior queda como histórico, nueva como activa",La version seleccionada  queda como la activa y la que estava queda como historial,,,,,,,,,,,,,,,,,,,,,
E-05,Deshabilitar equipo asignado a muestreo futuro,?? Alto,"Advertencia: ""Equipo asignado a muestreos programados""",,,,,,,,,,,,,,,,,,,,,,
E-06,Notificación de equipo por vencer (N días antes),?? Crítico,"Notificación aparece con anticipación, desaparece al renovar",Si aparece la notificacion correspondiente a el equipo por vencer,,,,,,,,,,,,,,,,,,,,,
E-07,Equipo vencido ? indicador visual en listado,?? Crítico,Badge o color diferenciador claro en la lista,El equipo si aparece como vencido de color naranjo y  con estado inactivo,,,,,,,,,,,,,,,,,,,,,
E-08,Exportar lista de equipos con filtros aplicados,?? Alto,Archivo refleja exactamente los datos filtrados,La lista de equipos exportados aparece ordenado y con todos los equipos y toda la informacion correspondiente ,,,,,,,,,,,,,,,,,,,,,
E-09,"Filtros combinados (tipo, estado, vencimiento)",?? Alto,Resultados correctos al combinar múltiples filtros,Los filtros combinados funcionan bien y sin ningun problema ,,,,,,,,,,,,,,,,,,,,,
E-10,Flujo de solicitud pendiente de equipo,?? Alto,Solicitud cambia estado correctamente en cada paso,Las solicitudes pendientes se visualizan de forma independiente por equipo con un icono reconocible ,,,,,,,,,,,,,,,,,,,,,
